Club,Year,SHTS,SOG,SOG%
Tampa Bay Mutiny,1996,381,191,50.13123359580053
Tampa Bay Mutiny,1997,340,156,45.88235294117647
Tampa Bay Mutiny,2000,444,193,43.468468468468465
Toronto FC,2007,236,120,50.847457627118644
Toronto FC,2008,241,114,47.30290456431535
Toronto FC,2009,345,142,41.15942028985507
Toronto FC,2010,269,104,38.66171003717472
Toronto FC,2011,251,90,35.85657370517929
Toronto FC,2012,461,167,36.22559652928417
Toronto FC,2013,370,112,30.270270270270274
Toronto FC,2014,458,161,35.1528384279476
Toronto FC,2015,572,197,34.44055944055944
Toronto FC,2016,572,200,34.96503496503497
Toronto FC,2017,486,183,37.65432098765432
Toronto FC,2018,438,162,36.986301369863014
Toronto FC,2019,444,174,39.189189189189186
Vancouver Whitecaps FC,2011,466,163,34.97854077253219
Vancouver Whitecaps FC,2012,439,145,33.029612756264235
Vancouver Whitecaps FC,2013,381,133,34.90813648293963
Vancouver Whitecaps FC,2014,303,106,34.98349834983499
Vancouver Whitecaps FC,2015,306,115,37.58169934640523
Vancouver Whitecaps FC,2016,257,113,43.96887159533074
Vancouver Whitecaps FC,2017,333,110,33.033033033033036
Vancouver Whitecaps FC,2018,220,87,39.54545454545455
Vancouver Whitecaps FC,2019,349,132,37.82234957020057
